"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NC-023,"Burke County",1.36,4,-3.0516,4.41
NC-025,"Cabarrus County",1.63,10,-2.473,4.1
NC-027,"Caldwell County",1.18,2,-3.391,4.57
NC-029,"Camden County",1.96,9,-2.4093,4.37
NC-031,"Carteret County",2.1,7,-2.8145,4.91
NC-033,"Caswell County",1.64,5,-2.2816,3.92
NC-035,"Catawba County",1.62,5,-2.6673,4.29
NC-037,"Chatham County",2.36,23,-1.8268,4.19
NC-039,"Cherokee County",2.4,10,-2.6408,5.04
NC-041,"Chowan County",2.3,13,-2.3959,4.7
NC-043,"Clay County",1.78,4,-3.283,5.06
NC-045,"Cleveland County",1.18,4,-3.0351,4.22
NC-047,"Columbus County",4.95,63,-0.0541,5
NC-049,"Craven County",2.25,8,-2.8837,5.13
NC-051,"Cumberland County",2.05,6,-2.6292,4.68
NC-053,"Currituck County",2.03,10,-2.2637,4.29
NC-055,"Dare County",1.44,7,-3.2061,4.65
NC-057,"Davidson County",1.18,2,-2.8955,4.08
NC-059,"Davie County",1.27,2,-2.7563,4.03
NC-061,"Duplin County",2.52,11,-2.5239,5.04
NC-063,"Durham County",1.98,14,-2.0784,4.06
NC-065,"Edgecombe County",1.36,1,-3.225,4.59
NC-067,"Forsyth County",1.39,4,-2.6165,4.01
NC-069,"Franklin County",2.72,33,-1.4956,4.22
NC-071,"Gaston County",1.9,13,-2.1527,4.05
NC-073,"Gates County",1.89,9,-2.6585,4.55
NC-075,"Graham County",3.12,10,-2.4692,5.59
NC-077,"Granville County",2.32,19,-1.7453,4.07
NC-079,"Greene County",1.45,5,-3.3638,4.81
NC-081,"Guilford County",1.23,2,-2.8478,4.08
NC-083,"Halifax County",2.3,14,-1.9472,4.25
NC-085,"Harnett County",2.36,16,-2.0614,4.42
NC-087,"Haywood County",1.18,1,-3.6372,4.82
NC-089,"Henderson County",1.74,4,-3.3164,5.06
NC-091,"Hertford County",2.14,8,-2.4673,4.61
NC-093,"Hoke County",2.27,9,-2.3113,4.58
NC-095,"Hyde County",3.12,30,-1.7142,4.83
NC-097,"Iredell County",1.53,5,-2.6357,4.17
NC-099,"Jackson County",2,4,-3.1534,5.15
NC-101,"Johnston County",1.35,1,-3.1185,4.47
NC-103,"Jones County",2.21,9,-2.9971,5.21
NC-105,"Lee County",2.71,29,-1.5151,4.23
NC-107,"Lenoir County",1.67,6,-3.3486,5.02
NC-109,"Lincoln County",1.53,7,-2.6451,4.18
NC-111,"McDowell County",1.67,5,-3.0526,4.72
NC-113,"Macon County",1.94,5,-3.2088,5.15
NC-115,"Madison County",1.81,6,-2.4678,4.28
NC-117,"Martin County",2.28,13,-2.554,4.83
NC-119,"Mecklenburg County",1.52,9,-2.4941,4.01
NC-121,"Mitchell County",1.7,4,-2.8571,4.56
NC-123,"Montgomery County",2.71,27,-1.5697,4.28
NC-125,"Moore County",2.09,15,-2.2688,4.36
NC-127,"Nash County",1.89,4,-2.4865,4.38
NC-129,"New Hanover County",4.42,55,-0.6518,5.07
NC-131,"Northampton County",2.4,16,-1.8771,4.28
NC-133,"Onslow County",2.9,16,-2.3985,5.3
NC-135,"Orange County",1.7,6,-2.377,4.08
NC-137,"Pamlico County",2.54,13,-2.4947,5.03
NC-139,"Pasquotank County",2.01,13,-2.435,4.45
NC-141,"Pender County",3.94,43,-1.1998,5.14
NC-143,"Perquimans County",2.16,12,-2.4176,4.58
NC-145,"Person County",1.73,8,-2.2466,3.98
NC-147,"Pitt County",1.91,7,-3.0172,4.93
NC-149,"Polk County",1.42,5,-3.5006,4.92
NC-151,"Randolph County",2.16,18,-2.0034,4.16
NC-153,"Richmond County",3.75,48,-0.6314,4.38
NC-155,"Robeson County",3.49,34,-1.2638,4.75
NC-157,"Rockingham County",1.12,2,-2.9196,4.04
NC-159,"Rowan County",1,2,-3.1139,4.11
NC-161,"Rutherford County",1.19,4,-3.2466,4.44
NC-163,"Sampson County",2.31,10,-2.5459,4.86
NC-165,"Scotland County",2.88,26,-1.717,4.6
NC-167,"Stanly County",2.33,22,-1.8725,4.2
NC-169,"Stokes County",2.03,10,-2.0922,4.12
