"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-105,"Elbert County",78.9,109,2.519,76.4
GA-107,"Emanuel County",80.7,113,2.213,78.5
GA-109,"Evans County",81.7,116,2.643,79.1
GA-111,"Fannin County",72.2,100,1.388,70.8
GA-113,"Fayette County",79.7,117,3.414,76.3
GA-115,"Floyd County",78.1,106,2.04,76.1
GA-117,"Forsyth County",76.6,104,2.038,74.6
GA-119,"Franklin County",78,107,2.23,75.8
GA-121,"Fulton County",78.6,114,2.984,75.6
GA-123,"Gilmer County",73.4,99,1.456,71.9
GA-125,"Glascock County",79.6,110,2.237,77.4
GA-127,"Glynn County",81.3,115,2.223,79.1
GA-129,"Gordon County",77.5,100,1.644,75.9
GA-131,"Grady County",82.3,122,3.341,79
GA-133,"Greene County",79.9,115,2.876,77
GA-135,"Gwinnett County",78.2,114,2.831,75.4
GA-137,"Habersham County",75.3,106,2.182,73.1
GA-139,"Hall County",77,108,2.274,74.7
GA-141,"Hancock County",79.9,112,2.33,77.6
GA-143,"Haralson County",77.1,116,2.94,74.2
GA-145,"Harris County",79.4,112,2.513,76.9
GA-147,"Hart County",78.5,112,2.761,75.7
GA-149,"Heard County",78.4,109,2.697,75.7
GA-151,"Henry County",80.2,118,3.647,76.6
GA-153,"Houston County",81.4,118,2.862,78.5
GA-155,"Irwin County",82,122,3.412,78.6
GA-157,"Jackson County",78.4,109,2.513,75.9
GA-159,"Jasper County",80.3,118,3.531,76.8
GA-161,"Jeff Davis County",82.2,124,3.308,78.9
GA-163,"Jefferson County",79.9,110,2.268,77.6
GA-165,"Jenkins County",80.6,115,2.604,78
GA-167,"Johnson County",80.5,112,2.172,78.3
GA-169,"Jones County",80.7,117,3.105,77.6
GA-171,"Lamar County",80,118,3.404,76.6
GA-173,"Lanier County",81.9,123,3.253,78.6
GA-175,"Laurens County",81.2,114,2.365,78.8
GA-177,"Lee County",82.5,124,3.503,79
GA-179,"Liberty County",81.8,114,2.656,79.1
GA-181,"Lincoln County",79.2,103,1.856,77.3
GA-183,"Long County",82,119,2.854,79.1
GA-185,"Lowndes County",81.9,123,3.34,78.6
GA-187,"Lumpkin County",73.9,102,1.625,72.3
GA-189,"McDuffie County",79.7,113,2.614,77.1
GA-191,"McIntosh County",81.4,110,2.095,79.3
GA-193,"Macon County",81.4,121,3.091,78.3
GA-195,"Madison County",78.5,111,2.68,75.8
GA-197,"Marion County",80.4,117,2.716,77.7
GA-199,"Meriwether County",79.1,114,2.866,76.2
GA-201,"Miller County",82.3,120,2.769,79.5
GA-205,"Mitchell County",82.5,123,3.4,79.1
GA-207,"Monroe County",80.4,118,3.287,77.1
GA-209,"Montgomery County",81.8,117,2.778,79
GA-211,"Morgan County",80,117,3.259,76.7
GA-213,"Murray County",76.3,100,1.623,74.7
GA-215,"Muscogee County",80.7,113,2.541,78.2
GA-217,"Newton County",79.9,117,3.534,76.4
GA-219,"Oconee County",79.4,114,2.9,76.5
GA-221,"Oglethorpe County",79.2,112,2.752,76.4
GA-223,"Paulding County",77.7,113,2.582,75.1
GA-225,"Peach County",81,120,2.982,78
GA-227,"Pickens County",75.2,99,1.554,73.6
GA-229,"Pierce County",81.8,121,3.112,78.7
GA-231,"Pike County",79.7,116,3.192,76.5
GA-233,"Polk County",78.5,119,3.175,75.3
GA-235,"Pulaski County",81.6,118,2.686,78.9
GA-237,"Putnam County",80.5,117,3.125,77.4
GA-239,"Quitman County",81.3,120,2.648,78.7
GA-241,"Rabun County",72.8,108,2.394,70.4
GA-243,"Randolph County",81.4,122,2.982,78.4
GA-245,"Richmond County",81.5,121,3.671,77.8
GA-247,"Rockdale County",79.8,118,3.554,76.2
GA-249,"Schley County",81,121,2.97,78
GA-251,"Screven County",80.6,115,2.5,78.1
GA-253,"Seminole County",82.5,121,2.701,79.8
GA-255,"Spalding County",80.1,117,3.445,76.7
GA-257,"Stephens County",77.2,101,1.827,75.4
GA-259,"Stewart County",80.9,117,2.764,78.1
GA-261,"Sumter County",81.8,123,3.271,78.5
GA-263,"Talbot County",79.7,111,2.54,77.2
GA-265,"Taliaferro County",79.3,112,2.368,76.9
GA-267,"Tattnall County",81.9,119,2.695,79.2
GA-269,"Taylor County",80.4,115,2.735,77.7
GA-271,"Telfair County",82.2,122,3.19,79
GA-273,"Terrell County",82,124,3.323,78.7
GA-275,"Thomas County",82.2,124,3.545,78.7
GA-277,"Tift County",81.8,121,3.365,78.4
GA-279,"Toombs County",81.9,119,2.786,79.1
GA-281,"Towns County",71.7,107,2.22,69.5
GA-283,"Treutlen County",81.2,115,2.376,78.8
GA-285,"Troup County",79.1,114,2.732,76.4
GA-287,"Turner County",81.8,121,3.521,78.3
GA-289,"Twiggs County",81.1,115,2.66,78.4
GA-291,"Union County",71.7,103,1.779,69.9
GA-293,"Upson County",79.9,114,2.92,77
GA-295,"Walker County",75.5,82,0.826,74.7
GA-297,"Walton County",79.1,115,3.042,76.1
GA-299,"Ware County",81.7,121,2.974,78.7
GA-301,"Warren County",79.3,109,2.258,77
GA-303,"Washington County",80.3,112,2.262,78
GA-305,"Wayne County",81.6,118,2.809,78.8
GA-307,"Webster County",81.1,122,3.06,78
GA-309,"Wheeler County",82.1,120,2.965,79.1
GA-311,"White County",74.3,106,2.079,72.2
GA-313,"Whitfield County",76.9,98,1.627,75.3
GA-315,"Wilcox County",81.9,120,3.211,78.7
GA-317,"Wilkes County",78.9,105,2.073,76.8
GA-319,"Wilkinson County",81,114,2.475,78.5
GA-321,"Worth County",82.1,122,3.535,78.6
